Position,Tile,Side,Sensor,DAQ,Asic,Channel
0,0,0,0,2,4,27
0,0,0,1,2,4,28
0,0,0,2,2,4,24
0,0,0,3,2,-999,-999
0,1,1,0,2,4,25
0,1,1,1,2,4,31
0,1,1,2,2,4,26
0,1,1,3,2,-999,-999
0,2,2,0,2,4,5
0,2,2,1,2,4,2
0,2,2,2,2,4,13
0,2,2,3,2,4,4
0,3,3,0,2,4,16
0,3,3,1,2,4,23
0,3,3,2,2,4,18
0,3,3,3,2,-999,-999
1,4,0,0,2,4,7
1,4,0,1,2,4,1
1,4,0,2,2,4,15
1,4,0,3,2,4,0
1,5,1,0,2,4,6
1,5,1,1,2,4,22
1,5,1,2,2,4,20
1,5,1,3,2,4,9
1,6,2,0,2,4,3
1,6,2,1,2,4,11
1,6,2,2,2,4,17
1,6,2,3,2,4,8
1,7,3,0,2,4,10
1,7,3,1,2,4,21
1,7,3,2,2,4,19
1,7,3,3,2,-999,-999
2,8,4,0,2,4,29
2,8,4,1,2,4,14
2,8,4,2,2,4,12
2,8,4,3,2,4,30
