Layer,Crystal,Sensor,Sensor_Size,DAQ,Asic,Channel
0,0,0,6,2,1,2
0,0,1,3,2,1,6
0,0,2,1,2,1,3
0,1,0,6,2,1,0
0,1,1,3,2,1,5
0,1,2,1,2,1,1
0,2,0,6,2,1,7
0,2,1,3,2,1,12
0,2,2,1,2,1,10
0,3,0,6,2,1,4
0,3,1,3,2,1,9
0,3,2,1,2,1,8
0,4,0,6,2,1,13
0,4,1,3,2,1,17
0,4,2,1,2,1,23
0,5,0,6,2,1,16
0,5,1,3,2,1,21
0,5,2,1,2,1,20
0,6,0,6,2,1,14
0,6,1,3,2,1,19
0,6,2,1,2,1,15
0,7,0,6,2,1,18
0,7,1,3,2,1,11
0,7,2,1,2,1,22
0,8,0,6,2,2,1
0,8,1,3,2,1,28
0,8,2,1,2,2,0
0,9,0,6,2,1,25
0,9,1,3,2,1,29
0,9,2,1,2,1,24
0,10,0,6,2,2,29
0,10,1,3,2,2,17
0,10,2,1,2,3,1
0,11,0,6,2,2,16
0,11,1,3,2,2,21
0,11,2,1,2,2,20
0,12,0,6,2,2,24
0,12,1,3,2,2,25
0,12,2,1,2,2,28
0,13,0,6,2,3,4
0,13,1,3,2,3,5
0,13,2,1,2,3,0
0,14,0,6,2,2,4
0,14,1,3,2,2,5
0,14,2,1,2,2,9
0,15,0,6,2,2,12
0,15,1,3,2,2,8
0,15,2,1,2,2,13
1,0,0,6,2,2,6
1,0,1,3,2,2,10
1,0,2,1,2,2,14
1,1,0,6,2,1,26
1,1,1,3,2,1,30
1,1,2,1,2,2,2
1,2,0,6,2,2,11
1,2,1,3,2,2,15
1,2,2,1,2,2,7
1,3,0,6,2,1,27
1,3,1,3,2,2,3
1,3,2,1,2,1,31
1,4,0,6,2,2,19
1,4,1,3,2,2,27
1,4,2,1,2,3,3
1,5,0,6,2,2,23
1,5,1,3,2,2,31
1,5,2,1,2,3,7
1,6,0,6,2,2,30
1,6,1,3,2,3,2
1,6,2,1,2,3,6
1,7,0,6,2,2,18
1,7,1,3,2,2,26
1,7,2,1,2,2,22
1,8,0,6,2,3,18
1,8,1,3,2,3,19
1,8,2,1,2,3,23
1,9,0,6,2,3,10
1,9,1,3,2,3,14
1,9,2,1,2,3,15
1,10,0,6,2,3,8
1,10,1,3,2,3,9
1,10,2,1,2,3,11
1,11,0,6,2,3,12
1,11,1,3,2,3,13
1,11,2,1,2,3,16
1,12,0,6,2,3,20
1,12,1,3,2,3,17
1,12,2,1,2,3,25
1,13,0,6,2,3,28
1,13,1,3,2,3,21
1,13,2,1,2,3,24
1,14,0,6,2,3,27
1,14,1,3,2,3,22
1,14,2,1,2,3,26
1,15,0,6,2,3,29
1,15,1,3,2,3,31
1,15,2,1,2,3,30
