Layer,Bar,Sensor,Sensor_Size,DAQ,Asic,Channel,
0,0,0,3,1,1,18,
0,1,0,3,1,1,2,
0,2,0,3,1,1,6,
1,0,0,3,1,1,10,
1,1,0,3,1,1,14,
1,2,0,3,1,1,26,
2,0,0,3,1,1,24,
2,1,0,3,1,1,13,
2,2,0,3,1,1,22,
3,0,0,3,1,1,8,
3,1,0,3,1,1,9,
3,2,0,3,1,1,31,
4,0,0,3,1,1,29,
4,1,0,3,1,1,28,
4,2,0,3,1,1,12,
5,0,0,3,1,1,4,
5,1,0,3,1,1,5,
5,2,0,3,1,1,1,
6,0,0,3,1,1,17,
6,1,0,3,1,1,16,
6,2,0,3,1,1,21,
7,0,0,3,1,1,20,
7,1,0,3,1,1,25,
7,2,0,3,1,1,0,
8,0,0,3,1,2,18,Check the coment
8,1,0,3,1,2,2,
8,2,0,3,1,2,6,
9,0,0,3,1,2,10,
9,1,0,3,1,2,14,
9,2,0,3,1,2,26,
10,0,0,3,1,2,24,
10,1,0,3,1,2,13,
10,2,0,3,1,2,22,
11,0,0,3,1,2,8,
11,1,0,3,1,2,9,
11,2,0,3,1,2,31,
12,0,0,3,1,2,29,
12,1,0,3,1,2,28,
12,2,0,3,1,2,12,
13,0,0,3,1,2,4,
13,1,0,3,1,2,5,
13,2,0,3,1,2,1,
14,0,0,3,1,2,17,
14,1,0,3,1,2,16,
14,2,0,3,1,2,21,
15,0,0,3,1,2,20,
15,1,0,3,1,2,25,
15,2,0,3,1,2,0,
16,0,0,3,1,2,18,
16,1,0,3,1,2,2,
16,2,0,3,1,2,6,
17,0,0,3,1,3,10,
17,1,0,3,1,3,14,
17,2,0,3,1,3,26,
18,0,0,3,1,2,24,
18,1,0,3,1,2,13,
18,2,0,3,1,2,22,
19,0,0,3,1,3,8,
19,1,0,3,1,3,9,
19,2,0,3,1,3,31,
20,0,0,3,1,3,29,
20,1,0,3,1,3,28,
20,2,0,3,1,3,12,
21,0,0,3,1,3,4,
21,1,0,3,1,3,5,
21,2,0,3,1,3,1,
22,0,0,3,1,3,17,
22,1,0,3,1,3,16,
22,2,0,3,1,3,21,
23,0,0,3,1,3,20,
23,1,0,3,1,3,25,
23,2,0,3,1,3,0,
24,0,0,3,1,4,18,
24,1,0,3,1,4,2,
24,2,0,3,1,4,6,
25,0,0,3,1,4,10,
25,1,0,3,1,4,14,
25,2,0,3,1,4,26,
26,0,0,3,1,4,24,
26,1,0,3,1,4,13,
26,2,0,3,1,4,22,
27,0,0,3,1,4,8,
27,1,0,3,1,4,9,
27,2,0,3,1,4,31,
28,0,0,3,1,4,29,
28,1,0,3,1,4,28,
28,2,0,3,1,4,12,
29,0,0,3,1,4,4,
29,1,0,3,1,4,5,
29,2,0,3,1,4,1,
30,0,0,3,1,4,17,
30,1,0,3,1,4,16,
30,2,0,3,1,4,21,
31,0,0,3,1,4,20,
31,1,0,3,1,4,25,
31,2,0,3,1,4,0,
0,0,1,1,1,-999,-999,
0,1,1,1,1,-999,-999,
0,2,1,1,1,-999,-999,
1,0,1,1,1,-999,-999,
1,1,1,1,1,-999,-999,
1,2,1,1,1,-999,-999,
2,0,1,1,1,-999,-999,
2,1,1,1,1,-999,-999,
2,2,1,1,1,-999,-999,
